1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0829,0.1106,0.1382,0.1667,0.1382,0.1106,0.0726,0.0553,0.0276,0.0,0.0,0.0,0.0
0.0087,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0127,0.0017,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0276,0.0553,0.0829,0.1106,0.1389,0.1659,0.1382,0.0983,0.0829,0.0553,0.0104,0.0,0.0,0.0017
0.0123,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0164,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0276,0.0553,0.0829,0.1111,0.1382,0.1659,0.124,0.1106,0.0829,0.0207,0.0276,0.0,0.0035
0.0159,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0201,0.0052,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0276,0.0553,0.0833,0.1106,0.1382,0.1497,0.1382,0.1106,0.0311,0.0553,0.0276,0.0052
0.016,0.0,0.0,0.0,0.0,0.0207,0.0,0.0,0.0,0.0,0.0204,0.0069,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0276,0.0556,0.0829,0.1106,0.127,0.1659,0.1382,0.0415,0.0829,0.0553,0.0346
0.0437,0.0,0.0,0.0,0.0,0.0259,0.0,0.0,0.0,0.0,0.0206,0.0086,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0278,0.0553,0.0829,0.1043,0.1382,0.1659,0.0518,0.1106,0.0829,0.0639
0.0715,0.0276,0.0,0.0,0.0,0.0311,0.0,0.0,0.0,0.0,0.0208,0.0104,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0553,0.0817,0.1106,0.1382,0.0622,0.1382,0.1106,0.0933
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1231,0.0829,0.0484,0.0276,0.0,0.0207,0.0,0.0,0.0,0.0,0.0172,0.0069,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302,0.0553,0.0829,0.0415,0.1382,0.1659,0.1452
0.1489,0.1106,0.0726,0.0553,0.0276,0.0156,0.0,0.0,0.0,0.0,0.0153,0.0052,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0276,0.0553,0.0311,0.1106,0.1382,0.1711
